State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,Footnote
AL,017000,ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE,"201 MONROE STREET, THE RSA TOWER,  SUITE 1200",MONTGOMERY,36104,3342065341,Government - State/ County,true,true,true,true,true,true,1966-07-01 00:00:00, 
AL,017009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,35216,2058242680,Proprietary,true,true,true,true,true,true,1973-01-18 00:00:00, 
AL,017013,KINDRED AT HOME,1239 RUCKER BLVD,ENTERPRISE,36330,3343470234,Proprietary,true,true,true,false,false,true,1975-07-24 00:00:00, 
AL,017014,AMEDISYS HOME HEALTH,68278 MAIN STREET,BLOUNTSVILLE,35031,8664864919,Proprietary,true,true,true,true,true,true,1975-09-04 00:00:00, 
AL,017016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,36330,3343474800,Proprietary,true,true,true,true,true,false,1976-06-09 00:00:00, 
AL,017018,KINDRED AT HOME,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,35906,2564421138,Proprietary,true,true,true,true,true,true,1977-01-01 00:00:00, 
AL,017020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 204, BLDG 2",MOBILE,36609,2513800492,Proprietary,true,true,true,true,true,true,1977-05-23 00:00:00, 
AL,017024,SOUTHEAST ALABAMA HOMECARE,"1435 ROSS CLARK CIRCLE, SUITE 2",DOTHAN,36301,3347940591,Proprietary,true,true,true,true,true,true,1978-06-01 00:00:00, 
AL,017025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,36609,2513439600,Proprietary,true,true,true,true,true,true,1978-12-28 00:00:00, 
AL,017026,KINDRED AT HOME,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,35244,2057397800,Proprietary,true,true,true,true,true,true,1979-03-29 00:00:00, 
AL,017027,DECATUR MORGAN HOMECARE,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,35603,2563504182,Proprietary,true,true,true,true,true,true,1979-07-25 00:00:00, 
AL,017028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,35068,2057837900,Proprietary,true,true,true,true,true,true,1979-06-01 00:00:00, 
AL,017034,COMFORT CARE COASTAL HOME HEALTH,1390 NORTH MCKENZIE STREET,FAIRHOPE,36532,2516214431,Non - Profit Religious,true,true,true,true,true,true,1981-05-26 00:00:00, 
AL,017035,INFIRMARY HOMECARE,1142-A MONTLIMAR DRIVE,MOBILE,36609,2514503300,Proprietary,true,true,true,true,true,true,1981-08-20 00:00:00, 
AL,017037,BAPTIST HOME HEALTH,"451 ST. LUKES DRIVE, SUITE 451",MONTGOMERY,36117,3343955100,Proprietary,true,true,true,true,true,true,1981-10-01 00:00:00, 
AL,017039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,35801,2568851665,Proprietary,true,true,true,true,true,true,1982-08-05 00:00:00, 
AL,017048,KINDRED AT HOME,101 NORTH LINCOLN STREET,GENEVA,36340,3346843919,Proprietary,true,true,true,true,false,true,1983-12-08 00:00:00, 
AL,017050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,35816,2565394457,Proprietary,true,true,true,true,true,true,1983-10-19 00:00:00, 
AL,017051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,35209,2058680147,Proprietary,true,true,true,true,true,true,1984-06-01 00:00:00, 
